condition	total	correct	accuracy
de	4462	4458	0.9991035410129987
fr	4444	4442	0.9995499549954996
hi	4443	4421	0.9950483907269863
text	4481	4477	0.9991073421111359
total	17830	17798	0.9982052720134604
